Country,Year,Date,Deaths,GDP_per_Capita,Democracy_Scores,Democracy_Classification
Afghanistan,2020,2020-01-22,0,512.055098005672,0.357567747963237,Moderate Autocracy
Afghanistan,2020,2020-01-23,0,512.055098005672,0.357567747963237,Moderate Autocracy
Afghanistan,2020,2020-01-24,0,512.055098005672,0.357567747963237,Moderate Autocracy
Afghanistan,2020,2020-01-25,0,512.055098005672,0.357567747963237,Moderate Autocracy
Afghanistan,2020,2020-01-26,0,512.055098005672,0.357567747963237,Moderate Autocracy
Afghanistan,2020,2020-01-27,0,512.055098005672,0.357567747963237,Moderate Autocracy
Afghanistan,2020,2020-01-28,0,512.055098005672,0.357567747963237,Moderate Autocracy
Afghanistan,2020,2020-01-29,0,512.055098005672,0.357567747963237,Moderate Autocracy
Afghanistan,2020,2020-01-30,0,512.055098005672,0.357567747963237,Moderate Autocracy
Afghanistan,2020,2020-01-31,0,512.055098005672,0.357567747963237,Moderate Autocracy
Afghanistan,2020,2020-02-01,0,512.055098005672,0.357567747963237,Moderate Autocracy
Afghanistan,2020,2020-02-02,0,512.055098005672,0.357567747963237,Moderate Autocracy
Afghanistan,2020,2020-02-03,0,512.055098005672,0.357567747963237,Moderate Autocracy
Afghanistan,2020,2020-02-04,0,512.055098005672,0.357567747963237,Moderate Autocracy
Afghanistan,2020,2020-02-05,0,512.055098005672,0.357567747963237,Moderate Autocracy
Afghanistan,2020,2020-02-06,0,512.055098005672,0.357567747963237,Moderate Autocracy
Afghanistan,2020,2020-02-07,0,512.055098005672,0.357567747963237,Moderate Autocracy
Afghanistan,2020,2020-02-08,0,512.055098005672,0.357567747963237,Moderate Autocracy
Afghanistan,2020,2020-02-09,0,512.055098005672,0.357567747963237,Moderate Autocracy
Afghanistan,2020,2020-02-10,0,512.055098005672,0.357567747963237,Moderate Autocracy
Afghanistan,2020,2020-02-11,0,512.055098005672,0.357567747963237,Moderate Autocracy
Afghanistan,2020,2020-02-12,0,512.055098005672,0.357567747963237,Moderate Autocracy
Afghanistan,2020,2020-02-13,0,512.055098005672,0.357567747963237,Moderate Autocracy
Afghanistan,2020,2020-02-14,0,512.055098005672,0.357567747963237,Moderate Autocracy
Afghanistan,2020,2020-02-15,0,512.055098005672,0.357567747963237,Moderate Autocracy
